banner;code;coordinador_name;coordinador_correo;cost;teachers;teachers_link;curricular_mesh;curricular_mesh_pdf;modality;name;resolution;resolution_pdf;title;section_text;section_video;duration
background:url(../img/carreras-vigentes/banner-arte-culinario2.jpeg);AC;Nombre_AC;Correo_AC;Gratuita;Docentes de Arte Culinario;/careers/AC/teachers;Carrera de Arte Culinario;pdf/mallas/Malla-Curricular-Arte-Culinario-Ecuatoriano.pdf;Dual / Jornada intensiva;Arte Culinario Ecuatoriano;RPC-SO-05-No.062-2018;pdf/resoluciones/ARTE-CULINARIO-RPC-SO-05-No.062-2018.pdf;Técnico Superior en Arte Culinario Ecuatoriano;La carrera dual de Arte Culinario Ecuatoriano forma profesionales técnicos en gastronomía ecuatoriana, desarrollando conocimientos teóricos y metodológicos que rescatan e impulsan nuestra cultura y tradiciones culinarias mediante la aplicación de los aprendizajes en un contexto empresarial competitivo.Por lo tanto, el Técnico en Arte Culinario, al estar capacitado en la preparación de recetas de la cocina ecuatoriana, a través el uso de técnicas tradicionales e innovadoras, puede desempeñarse como jefe de partida, ayudante de cocina, parrillero, carnicero, entremetier, potager panadero y pastelero.;https://www.youtube.com/embed/X0FH-QMng7E;Cuatro Semestres
background:url(../img/carreras-vigentes/banner-control-de-incendios.jpeg);CI;Nombre_CI;Correo_CI;Gratuita;Docentes de la carrera Control de Incendios;/careers/CI/teachers;Carrera de Control de Incendios;pdf/mallas/Malla-Curricular-Bomberos.pdf;Dual / Jornada intensiva;Control de Incendios y Operaciones de Rescate;RPC-SO-01-No.003-2020;pdf/resoluciones/Resolución-Control-Incendios.pdf;Tecnólogo Superior en Control de Incendios y Operaciones de Rescate;"El tecnólogo superior en control de incendios y operaciones de rescate, tiene la capacidad de elaborar planes de trabajo para la capacitación en prevención de incendios forestales en las comunidades rurales, además de aplicar la normativa vigente en materia de inspección y planes de autoprotección de edificios e instalaciones industriales que garanticen el normal desenvolvimiento de las unidades productivas y de servicios del cantón.Lidera y conforma brigadas multidisciplinarias para responder diferentes situaciones de urgencia y emergencia; contribuye a la divulgación y cumplimiento de los principios y normas de protección antes, durante y después de los siniestros, así como también capacita y brinda información a la comunidad en materia de prevención de incendios estructurales y forestales.";https://www.youtube.com/embed/X0FH-QMng7E;Cuatro Semestres
background:url(../img/carreras-vigentes/banner-software.jpeg);DS;Nombre_DS;Correo_DS;Gratuita;Docentes de la carrera de Desarrollo de Software;/careers/DS/teachers;Carrera de Desarrollo de Software;pdf/mallas/malla-desarrollo-software.pdf;Dual / Jornada intensiva;Desarrollo de Software;RPC-SO-22-No.427-2017;pdf/resoluciones/DESARROLLO-DE-SOFTWARE-RPC-SO-22-No.427-2017.pdf;Tecnólogo Superior en Desarrollo de Software;La Tecnología Superior en Desarrollo de Software prepara profesionales que integren conocimientos, metodologías y procedimientos relacionados a la programación, los mismos que se basan en la ciencia de la matemática aplicada, enfocada a fortalecer el sector de Software y sus clientes mediante talento humano que programa aplicaciones diseñadas previamente y mantener aplicaciones, de forma supervisada, trabajando en equipos bajo estándares profesionales reconocidos, satisfaciendo las necesidades empresariales en el país aportando económicamente al mismo, a la familia y la sociedad, dentro de un contexto social, cultural, político, económico y ambiental del país, que desarrolla la vida laboral productiva.;https://www.youtube.com/embed/vGd1Ibx1r_I;Cinco Semestres
background:url(../img/carreras-vigentes/banner-diseñomodas.png);DM;Nombre_DM;Correo_DM;Gratuita;Docentes de la carrera de Diseño de Modas;/careers/DM/teachers;Carrera de Diseño de Modas;pdf/mallas/malla-diseno-modas.pdf;Presencial. Jornada matutina, vespertina y nocturna;Diseño de Modas;RPC-SO-10-No.179-2017;pdf/resoluciones/MODAS-RPC-SO-10-No.179-2017.pdf;Diseñador de Modas con nivel equivalente a Tecnología Superior;La carrera de Diseño de Modas forma diseñadores capacitados para solventar las crecientes necesidades de indumentaria de la sociedad. El profesional del diseño tiene las destrezas necesarias para elaborar y vender colecciones de moda y accesorios a través de las más actuales técnicas artesanales y tecnológicas. Su campo laboral se desarrolla como: diseñador en fábricas de moda, diseñador de imagen, proveedor de servicios relacionados con el sector textil y mucho más importante, como emprendedor en su propio negocio de moda.;https://www.youtube.com/embed/VzN9JrUH1uc;Cinco Semestres
background:url(../img/carreras-vigentes/banner-marketing.jpeg);M;Nombre_M;Correo_M;Gratuita;Docentes de la carrera de Marketing;/careers/M/teachers;Carrera de Marketing;pdf/mallas/Malla-rediseño-Marketing.pdf;Presencial. Jornada matutina, vespertina y nocturna;Marketing;RPC-SO-34-No.631-2017;pdf/resoluciones/MARKETING-RPC-SO-34-No.631-2017.pdf;Tecnólogo Superior en Marketing;La carrera de Marketing forma profesionales táctico – operativos, cuyo conocimiento y capacidad en el uso e implementación de herramientas permite, a empresas contratantes, satisfacer las necesidades de su mercado meta, garantizando su rentabilidad y supervivencia, aportando al desarrollo del país. Por lo tanto, el Tecnólogo en Marketing puede desempeñarse como analista de mercadeo, marca y producto, jefe de cuentas e investigador de mercados. Además, cumple las funciones de análisis, ejecución y control, asesorando a los niveles estratégicos, mandos medios y jefaturas inmediatas.;https://www.youtube.com/embed/0ZxejfGl7s8?start=1;Cinco Semestres
background:url(../img/carreras-vigentes/banner-guia-nacional.jpeg);GN;Nombre_GN;Correo_GN;Gratuita;Docentes de la carrera de Guía Nacional;/careers/GN/teachers;Carrera de Guía Nacional;pdf/mallas/malla-guianza-turistica.pdf;Dual / Jornada intensiva;Guía Nacional de Turismo;RPC-SO-05-No.062-2018;pdf/resoluciones/GUIA-NACIONAL-DE-TURISMO-RPC-SO-23-No.362-2018.pdf;Guía Nacional de Turismo con nivel equivalente a Tecnología Superior;La carrera dual de Guía Nacional de Turismo forma tecnólogos que aportan a la eficiencia de los servicios turísticos, mediante la guianza especializada y evaluación de las buenas prácticas de turismo sostenible, dentro de un ámbito de respeto a la diversidad y responsabilidad socio ambiental. Por lo tanto, el campo ocupacional del Guía Nacional de Turismo puede estar en: tour operadores, agencias de viajes, empresas de transporte turístico, museos, galerías, tiendas artesanales, reservas naturales privadas, centros de interpretación de Áreas del SNAP, parques temáticos, complejos recreacionales, sitios arqueológicos, espacios de avistamiento de aves, emprendimientos comunitarios, instituciones públicas relacionadas con la gestión del Turismo, instituciones públicas relacionadas con la gestión del patrimonio, instituciones públicas relacionadas con la gestión del medio ambiente y operaciones turísticas propias.;https://www.youtube.com/embed/GLdbYXVCZIk;Cinco Semestres
